
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D2:C6:37:58:ED:EB, 2020-04-18 13:36:44, 2020-04-19 21:37:52,  1,  54, WPA2, CCMP, PSK, -77,      226,        0,   0.  0.  0.  0,  19, DIRECT-dXAPSKPCmsGW, 
44:FE:3B:59:56:0A, 2020-04-18 13:37:44, 2020-04-19 21:37:52,  4,  54, WPA2, CCMP, PSK, -82,      362,       51,   0.  0.  0.  0,  12, SINGTEL-560A, 
EC:F4:51:B1:66:D6, 2020-04-18 14:31:46, 2020-04-19 21:37:26, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:BE:F5:D5:EE:E4, 2020-04-18 13:48:44, 2020-04-19 21:36:52,  1,  54, WPA2 WPA, CCMP TKIP, PSK, -84,       90,        7,   0.  0.  0.  0,   6, MWAWEN, 
FF:FF:50:7E:5D:33, 2020-04-18 15:27:06, 2020-04-19 21:36:00, -1,  -1, , ,   , -76,        0,        0,   0.  0.  0.  0,   0, , 
F0:F1:30:23:03:77, 2020-04-18 17:31:40, 2020-04-19 21:35:09, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:00:FF:FF:FF:FF, 2020-04-18 14:12:39, 2020-04-19 21:31:05, 10,  -1, WEP, WEP GCMP,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
56:DC:05:00:A0:B2, 2020-04-19 21:24:19, 2020-04-19 21:24:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:F4:51:B1:66:D4, 2020-04-18 14:31:44, 2020-04-19 21:23:52,  5,  54, WPA2, CCMP, PSK, -86,        3,       49,   0.  0.  0.  0,  12, SINGTEL-66D4, 
40:16:7E:32:A7:F8, 2020-04-18 14:10:20, 2020-04-19 21:22:40, 10,  54, WPA2, CCMP, PSK, -90,       17,        5,   0.  0.  0.  0,   9, SouthPole, 
00:FB:70:4F:57:89, 2020-04-18 15:02:23, 2020-04-19 21:19:44, -1,  -1, , ,   , -57,        0,        0,   0.  0.  0.  0,   0, , 
B6:61:FF:FF:FF:FF, 2020-04-19 15:10:44, 2020-04-19 21:07:11, 10,  -1, WEP, WEP GCMP,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
EC:F4:51:94:B6:63, 2020-04-18 22:03:01, 2020-04-19 21:03:36, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:F4:30:8E:C9:89, 2020-04-19 20:55:35, 2020-04-19 21:01:12, 11,  54, WPA2, CCMP, PSK, -65,      167,        2,   0.  0.  0.  0,   6, iPhone, 
40:77:FF:FF:FF:FF, 2020-04-18 13:59:47, 2020-04-19 20:53:50, 10,  -1, OPN, ,   ,  -1,        0,       73,   0.  0.  0.  0,   0, , 
64:CC:22:73:56:E0, 2020-04-18 13:48:44, 2020-04-19 19:10:16,  7,  54, WPA2, CCMP, PSK, -82,     1046,      169,   0.  0.  0.  0,  12, SINGTEL-56E0, 
56:C3:BE:1F:1E:08, 2020-04-18 13:54:44, 2020-04-19 19:04:16, 11,  54, OPN, ,   ,  -1,       30,        0,   0.  0.  0.  0,   5, SETUP, 
